ds,bioenergy,coal,gas,hydro,nuclear,oil,solar,wind,year,bioenergy_emission,solar_emission,wind_emission,hydro_emission,nuclear_emission,oil_emission,gas_emission,coal_emission,total_emission_MtCO2
2012-01-01,19.10781040190629,790.1546910660775,87.56548664919526,123.4170105482722,29.35188765377445,12.11673631082113,2.542990685311344,27.13179431226973,2012,0.7643124160762516,0.11443458083901048,0.298449737434967,0.4936680421930888,0.35222265184529344,8.966384870007635,42.907088458105676,647.9268466741835,701.8234074306854
2013-01-01,21.286760174226167,854.0053891139092,84.67986889675916,127.13527214531656,31.23969755514446,11.20229935890593,3.395701074071305,30.71944943212545,2013,0.8514704069690467,0.15280654833320872,0.33791394375337996,0.5085410885812662,0.3748763706617335,8.289701525590388,41.493135759411985,700.2844190734055,752.2928647167065
2014-01-01,23.459756531867583,917.681631702594,81.80213534583247,130.8433745576695,33.12234950596427,10.29036086860799,4.246081653025913,34.297302215588154,2014,0.9383902612747034,0.19107367438616607,0.3772703243714697,0.523373498230678,0.3974681940715713,7.614867042769913,40.08304631945791,752.4989379961271,802.6244273106895
2015-01-01,24.988670241815228,981.3552960472229,78.92440178989558,134.55118978528108,35.00499103703299,9.378546932196928,5.097051830930873,39.21306423948895,2015,0.9995468096726091,0.22936733239188928,0.43134370663437843,0.5382047591411243,0.42005989244439584,6.940124729825726,38.67295687704883,804.7113427587227,852.9429468658817
2016-01-01,26.51729450472237,1037.2371414708743,76.04666823757287,138.25900454181686,36.88763256738808,8.466749305412367,5.94816450564962,44.12892454061179,2016,1.0606917801888947,0.2676674027542329,0.48541816994672965,0.5530360181672674,0.44265159080865696,6.265394486005152,37.26286743641071,850.5344560061169,896.8721828903986
2017-01-01,28.050106769432272,1093.2710411804344,73.16105048506891,141.9769776793877,38.77543201712599,7.552454512670023,20.77366760632005,49.05825295659005,2017,1.1220042707772908,0.9348150422844022,0.5396407825224906,0.5679079107175508,0.4653051842055119,5.588816339375817,35.848914737683764,896.4822537679562,941.5496580355231
2018-01-01,29.578731022489936,1149.1518428033555,70.28331693407453,145.68479242040775,40.65807354487008,6.640657793131893,35.55866386791759,53.97411326214212,2018,1.1831492408995974,1.6001398740562913,0.5937152458835633,0.582739169681631,0.48789688253844093,4.914086766917601,34.43882529769652,942.3045110987515,986.1050635764251
2019-01-01,31.10735527554761,1205.032644426277,67.40558338308016,149.39260716142783,42.54071507261417,5.728861073593766,50.343660129515065,58.88997356769417,2019,1.2442942110219044,2.265464705828178,0.6477897092446359,0.5975704286457113,0.5104885808713701,4.239357194459386,33.02873585770928,988.1267684295472,1030.6604691173277
2020-01-01,32.63597952860529,1260.9134460491994,64.52784983208578,153.10042190244792,44.42335660035827,4.817064354055636,65.1286563911126,63.80583387324627,2020,1.3054391811442116,2.930789537600067,0.701864172605709,0.6124016876097917,0.5330802792042992,3.5646276220011703,31.61864641772203,1033.9490257603434,1075.2158746582306
2021-01-01,34.16879179331518,1316.9473457587587,61.64223207958184,156.81839504001871,46.311156050096166,3.90276956131329,79.95415949178297,68.7351622892245,2021,1.3667516717326071,3.5979371771302335,0.7560867851814695,0.6272735801600748,0.555733872601154,2.8880494753718344,30.2046937189951,1079.896823522182,1119.8933498033546
2022-01-01,35.69741604637285,1372.8281473816803,58.76449852858746,160.5262097810388,48.19379757784026,2.9909728417751595,94.73915575338044,73.65102259477656,2022,1.4278966418549142,4.26326200890212,0.8101612485425421,0.6421048391241552,0.5783255709340831,2.213319902913618,28.794604279007856,1125.7190808529779,1164.448755344257
